temperature,humidity,cloud_cover,historical_rainfall,heavy_rainfall_event
28.66,78.56,59.23,42.61,1
23.55,93.0,67.13,67.29,1
30.35,75.22,80.23,18.0,1
31.07,82.69,54.73,49.84,1
20.09,46.32,73.94,6.1,0
22.55,73.34,57.42,12.48,0
27.99,62.62,60.53,8.3,0
26.3,57.55,80.42,15.48,0
27.44,62.14,21.15,48.35,0
24.26,69.49,35.77,18.36,0
30.84,86.36,31.87,21.23,0
30.46,56.09,13.99,36.14,0
27.75,74.41,48.76,41.39,0
31.78,67.46,78.74,21.74,0
29.28,69.58,57.02,12.41,0
24.23,87.54,67.15,80.74,1
28.9,81.26,85.87,21.85,1
23.86,92.05,90.88,23.58,1
30.84,71.91,61.55,25.9,0
27.31,64.6,91.43,44.41,1
26.8,70.98,64.93,7.66,0
24.91,77.27,45.41,100.96,1
32.15,76.38,50.52,23.08,0
26.91,59.36,31.91,45.44,0
25.87,75.22,44.35,9.81,0
26.16,77.08,55.48,33.61,0
29.52,100.0,79.88,91.21,1
28.89,99.34,99.14,83.18,1
29.07,62.48,33.97,44.63,0
29.14,70.12,71.25,14.61,0
35.64,54.24,41.15,64.99,0
25.96,66.03,72.97,6.05,0
25.55,78.26,60.25,14.16,0
24.41,90.28,24.55,28.12,0
29.84,64.16,82.49,6.64,0
31.79,65.17,50.29,19.84,0
27.07,45.01,51.79,50.52,0
24.31,71.8,40.54,16.82,0
24.37,59.66,49.26,52.12,0
29.97,66.85,71.99,118.09,1
30.32,62.16,59.03,39.17,0
29.56,72.73,69.9,51.52,1
24.97,50.27,70.6,66.44,1
28.38,54.19,90.73,21.32,0
27.94,100.0,55.8,50.7,1
28.33,56.62,31.99,20.92,0
30.81,59.19,85.41,37.27,1
28.35,98.8,56.04,55.89,1
30.08,100.0,86.41,15.19,1
27.76,58.18,71.05,2.44,0
28.6,69.03,60.25,14.0,0
29.9,78.61,70.32,61.4,1
21.96,97.34,100.0,12.52,1
26.29,60.68,100.0,59.17,1
25.71,70.69,64.46,14.06,0
25.07,84.49,66.36,25.28,1
26.45,79.87,85.6,29.57,1
33.18,68.92,45.24,12.47,0
24.21,72.19,69.99,25.49,0
31.18,55.44,62.46,7.07,0
21.11,70.78,69.59,22.83,0
26.23,70.4,45.5,27.81,0
28.12,77.13,29.62,2.61,0
29.73,66.5,19.47,13.89,0
30.2,80.37,39.53,36.48,0
30.51,87.67,53.37,11.23,0
26.17,76.1,56.84,40.76,1
25.74,78.75,100.0,43.54,1
30.76,74.72,86.23,36.37,1
26.77,74.0,42.8,50.3,0
22.65,64.26,70.3,6.61,0
23.19,78.27,54.45,57.55,1
24.01,72.69,57.03,12.65,0
29.39,100.0,66.89,32.08,1
28.04,95.24,76.0,88.92,1
30.12,79.21,55.88,22.46,0
25.88,63.7,85.34,30.12,1
28.1,58.98,39.02,12.72,0
29.88,90.08,63.13,88.35,1
26.32,77.55,100.0,13.92,1
29.24,80.48,67.68,46.14,1
24.98,50.45,93.1,66.36,1
26.12,86.52,64.92,49.14,1
26.05,80.13,75.2,37.95,1
22.96,59.01,61.81,31.73,0
29.35,67.63,59.42,9.72,0
25.72,77.56,46.63,85.85,1
27.55,74.71,72.04,35.8,1
29.33,70.06,45.12,30.13,0
29.2,72.6,76.98,11.77,0
30.03,70.6,85.79,31.21,1
27.13,76.06,70.7,28.76,1
25.89,93.87,56.99,88.91,1
27.2,39.35,72.53,30.12,0
21.09,70.8,56.52,30.84,0
22.0,76.38,82.65,11.9,1
22.47,78.0,24.54,16.35,0
23.71,68.98,55.95,42.49,0
29.02,50.28,21.19,5.36,0
24.06,78.43,31.6,57.35,0
26.06,97.32,91.64,58.37,1
32.44,53.29,81.8,14.94,0
26.15,85.66,47.89,38.05,0
30.3,69.56,31.45,67.77,0
23.95,73.17,5.0,27.07,0
26.72,59.79,51.59,23.42,0
23.89,69.48,100.0,25.66,1
26.21,91.55,72.13,35.74,1
30.69,81.87,51.25,18.13,0
20.94,97.39,72.77,21.91,1
29.15,89.9,30.22,36.25,0
28.4,79.93,56.76,20.53,0
25.24,97.54,65.09,10.99,1
22.0,79.93,61.19,4.85,0
27.77,85.18,79.61,30.55,1
25.49,70.0,70.24,65.05,1
28.38,74.9,77.03,39.38,1
27.58,64.58,48.54,11.37,0
33.59,87.36,81.85,16.25,1
26.59,58.09,97.21,23.29,1
23.61,84.56,42.63,90.73,1
28.18,71.43,44.36,93.87,1
28.34,89.81,91.05,86.94,1
32.66,84.14,58.98,32.82,1
30.67,98.58,92.48,130.0,1
28.86,83.87,53.71,16.92,0
33.06,52.78,93.56,22.63,0
22.98,73.1,65.76,54.46,1
25.07,58.18,68.42,36.38,0
23.98,67.0,95.86,37.85,1
26.02,94.4,55.4,13.13,0
22.27,82.61,43.24,28.61,0
29.91,64.56,53.58,17.13,0
26.66,60.31,72.5,9.09,0
